Name,Price,Seller,Image
"Laptop Acer Nitro 5 AN515 57 54MV i5 11400H/8GB/512GB/4GB RTX3050/15.6""F/144Hz/Win11/(NH.QENSV.003)/Đen - Hàng chính hãng",23520000,GIA DỤNG VIỆT,https://salt.tikicdn.com/cache/280x280/ts/product/99/a2/45/72a48c0c5b3d6d423ee90cc70d25ebe2.jpg
Laptop Acer Nitro 5 AN515-45-R6EV R5-5600H |8GB|512GB|GTX 1650 4GB|156' FHD 144Hz|Win 11 Hàng chính hãng,20400000,GIA DỤNG VIỆT,https://salt.tikicdn.com/cache/280x280/ts/product/5f/c9/e9/46744fd2cec9f4a649a3883b814004d2.jpg
Laptop Acer Aspire 7 A715-42G-R05G (R5-5500U | 8GB | 512GB |GTX 1650 4GB | Win 11 Hàng chính hãng,22490000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/fa/0c/a5/e058454fb17b7da40c563466eeafbe56.jpg
Sạc dành cho Laptop Gaming Asus ROG GU501G GU501GM Laptop Charger 6.0mm AC Adapter 230W,1289999,Đạt Khang Network,https://salt.tikicdn.com/cache/280x280/ts/product/a0/14/79/45c5d6f93fb2ffa1e764634bcbab547d.jpg
"Máy Tính Xách Tay Laptop Acer Aspire 7 Gaming A715-75G-58U4 (NH.Q97SV.004) (Core i5-10300H, 8GB Ram, 512GB SSD NVMe, 15.6 inch IPS FHD, GTX 1650 4GB, Win11H, 2.15Kg, Đen) - Hàng Chính Hãng",17000000,GIA DỤNG VIỆT,https://salt.tikicdn.com/cache/280x280/ts/product/ec/de/13/629ca47e0741cd597f1fcce0a6c8d0e8.jpg
Laptop HP Victus 16-e1105AX 7C0T0PA R5-6600H | 16GB | 512GB |RTX 3050Ti 4GB |144Hz Hàng chính hãng,27990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/3f/ef/83/2431dbfdc7ff9bb908f9af962b56320e.jpg
Laptop HP Victus 16-d0293TX 5Z9R4PA i5-11400H | 8GB | 512GB |RTX 3050Ti 4GB |144Hz Hàng chính hãng,27990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/d7/ca/e4/e635ccb5dd4bddb515f363d74905a798.jpg
Laptop HP Pavilion 15-eg2062TX 7C0W7PA i5-1235U | 8GB | 512GB | MX550 2GB | 15.6' | W11 Hàng chính hãng,21390000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/d3/ff/81/380c0f45e3ff305c964b0f42a057ba22.jpg
Laptop HP Victus 15-fa0108TX 7C0X0PA i7-12700H | 16GB | 512GB | RTX 3050Ti 4GB | 15.6' FHD Hàng chính hãng,39990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/92/a1/d2/a0a1cce1f4fe0bda451d8ab8e70dd588.jpg
Laptop Acer Aspire 7 A715-43G-R8GA(R5-5625U|8GB|512GB|GeForce RTX3050 4GB|15.6' FHD144Hz |W11 Hàng chính hãng,19600000,GIA DỤNG VIỆT,https://salt.tikicdn.com/cache/280x280/ts/product/f9/b7/f5/d90936690ed47a6d4ff30732eff1e3a3.jpg
